player,matches,total_runs,total_balls_faced,total_fours,total_sixes,dismissals,total_balls_bowled,total_runs_conceded,total_wickets,total_catches,leagues,batting_avg,strike_rate,bowling_avg,economy,overs_bowled
Sandeep Sharma,14,6,5,0,0,0,325,467,20,0,"IPL,SMAT",6.0,120.0,23.35,8.62,54.2
Shashank Singh,13,306,212,17,16,7,12,27,0,4,IPL,43.71,144.34,0.0,13.5,2.0
Sai Sudharsan,13,622,404,79,13,12,0,0,0,2,IPL,51.83,153.96,0.0,0.0,0.0
Mohammed Shami,13,8,6,1,0,0,287,475,20,1,"IPL,SMAT",8.0,133.33,23.75,9.93,47.8
Prasidh Krishna,13,0,0,0,0,0,312,429,23,2,IPL,0.0,0.0,18.65,8.25,52.0
Sai Kishore,13,4,9,0,0,2,207,326,15,2,IPL,2.0,44.44,21.73,9.45,34.5
Krunal Pandya,13,109,83,9,4,5,240,324,14,4,IPL,21.8,131.33,23.14,8.1,40.0
Yash Dayal,13,4,8,0,0,2,258,427,10,3,IPL,2.0,50.0,42.7,9.93,43.0
Virat Kohli,13,567,388,60,15,11,0,0,0,1,IPL,51.55,146.13,0.0,0.0,0.0
Rohit Sharma,12,397,260,39,21,11,0,0,0,1,IPL,36.09,152.69,0.0,0.0,0.0
KL Rahul,12,531,358,51,20,9,0,0,0,0,IPL,59.0,148.32,0.0,0.0,0.0
Ben Duckett,12,238,176,31,5,11,0,0,0,6,"Hundred,T20I",21.64,135.23,0.0,0.0,0.0
Rajat Patidar,12,227,169,16,10,11,0,0,0,2,IPL,20.64,134.32,0.0,0.0,0.0
Yashasvi Jaiswal,11,525,318,57,26,10,0,0,0,2,IPL,52.5,165.09,0.0,0.0,0.0
Prince Yadav,11,5,10,0,0,0,247,372,10,2,"IPL,SMAT",5.0,50.0,37.2,9.04,41.2
Nishant Sindhu,11,303,182,27,16,9,0,0,0,0,SMAT,33.67,166.48,0.0,0.0,0.0
Anshul Kamboj,11,0,0,0,0,0,259,371,21,0,SMAT,0.0,0.0,17.66,8.59,43.2
Robin Minz,11,166,102,11,9,6,0,0,0,0,SMAT,27.67,162.74,0.0,0.0,0.0
Pat Cummins,11,77,46,6,4,2,244,334,14,2,IPL,38.5,167.39,23.86,8.21,40.7
Anukul Roy,11,303,189,23,15,5,224,277,18,0,SMAT,60.6,160.31,15.38,7.41,37.3
Sushant Mishra,11,0,0,0,0,0,254,378,22,0,SMAT,0.0,0.0,17.18,8.92,42.3
Ravindra Jadeja,11,227,163,20,8,7,179,256,9,4,IPL,32.43,139.26,28.44,8.58,29.8
Yuzvendra Chahal,11,0,0,0,0,0,228,360,15,1,IPL,0.0,0.0,24.0,9.47,38.0
Riyan Parag,11,331,193,25,22,9,96,145,3,3,IPL,36.78,171.5,48.33,9.06,16.0
Avesh Khan,11,21,12,3,1,1,242,412,12,2,IPL,21.0,175.0,34.33,10.21,40.3
Deepak Chahar,11,9,10,1,0,1,198,300,7,2,IPL,9.0,90.0,42.86,9.09,33.0
Washington Sundar,11,205,121,15,12,7,133,197,5,5,"IPL,T20I",29.29,169.42,39.4,8.89,22.2
Yudhvir Singh,11,0,0,0,0,0,222,340,15,0,"IPL,SMAT",0.0,0.0,22.67,9.19,37.0
Prabhsimran Singh,10,233,147,27,12,10,0,0,0,0,SMAT,23.3,158.5,0.0,0.0,0.0
Rishabh Pant,10,252,176,23,15,8,0,0,0,1,IPL,31.5,143.18,0.0,0.0,0.0
Kumar Kushagra,10,422,261,34,22,7,0,0,0,0,SMAT,60.29,161.68,0.0,0.0,0.0
MS Dhoni,10,150,116,8,9,7,0,0,0,1,IPL,21.43,129.31,0.0,0.0,0.0
Urvil Patel,10,263,112,22,24,9,0,0,0,2,"IPL,SMAT",29.22,234.82,0.0,0.0,0.0
Harsh Dubey,10,0,0,0,0,0,216,263,13,0,"IPL,SMAT",0.0,0.0,20.23,7.31,36.0
Harshal Patel,10,4,6,0,0,1,209,351,13,2,IPL,4.0,66.67,27.0,10.08,34.8
Dhruv Jurel,10,227,143,12,16,6,0,0,0,1,IPL,37.83,158.74,0.0,0.0,0.0
Aman Rao,10,234,143,25,13,9,0,0,0,0,SMAT,26.0,163.63,0.0,0.0,0.0
Rahul Tewatia,10,93,57,6,6,6,0,0,0,1,IPL,15.5,163.16,0.0,0.0,0.0
Ravi Bishnoi,10,23,24,1,2,1,204,330,9,0,"IPL,T20I",23.0,95.83,36.67,9.71,34.0
Sameer Rizvi,10,308,216,28,15,9,0,0,0,0,"IPL,SMAT",34.22,142.59,0.0,0.0,0.0
Mukesh Kumar,10,0,0,0,0,0,213,369,11,1,IPL,0.0,0.0,33.55,10.39,35.5
Zeeshan Ansari,9,0,0,0,0,0,179,291,3,2,IPL,0.0,0.0,97.0,9.75,29.8
Nitish Kumar Reddy,9,120,108,10,3,5,30,47,2,2,IPL,24.0,111.11,23.5,9.4,5.0
Aniket Verma,9,119,85,7,8,6,0,0,0,3,IPL,19.83,140.0,0.0,0.0,0.0
M Shahrukh Khan,9,164,92,11,11,5,6,13,1,3,IPL,32.8,178.26,13.0,13.0,1.0
Arshad Khan,8,22,18,0,3,2,120,196,6,1,IPL,11.0,122.22,32.67,9.8,20.0
